iter	RMSE
0	4967.124344
1	4907.82014
2	4850.409434
3	4795.522566
4	4743.494401
5	4691.833438
6	4641.273291
7	4591.138132
8	4545.239716
9	4498.102708
10	4454.243459
11	4409.771387
12	4368.291139
13	4327.495912
14	4287.402802
15	4248.906054
16	4210.605742
17	4173.460718
18	4135.314636
19	4099.199329
20	4064.786919
21	4031.776611
22	3997.578474
23	3965.5472
24	3935.27203
25	3905.581514
26	3876.975789
27	3848.863331
28	3822.245537
29	3796.040367
30	3771.072748
31	3745.586783
32	3720.728785
33	3697.650305
34	3674.627401
35	3652.714931
36	3631.047825
37	3608.812207
38	3588.825127
39	3568.266376
40	3549.287973
41	3530.934009
42	3513.925682
43	3496.099504
44	3479.288763
45	3462.65241
46	3447.052897
47	3433.570122
48	3419.118767
49	3406.00886
50	3391.425353
51	3375.90323
52	3362.604445
53	3348.692444
54	3334.316671
55	3320.554964
56	3309.614001
57	3298.904155
58	3287.404401
59	3276.415222
60	3265.787355
61	3255.787477
62	3246.121865
63	3236.061123
64	3226.520782
65	3217.221215
66	3208.178358
67	3200.132091
68	3191.684638
69	3183.436175
70	3176.135662
71	3168.516507
72	3161.419802
73	3153.979033
74	3147.018436
75	3140.931342
76	3135.232559
77	3127.645663
78	3121.633848
79	3115.744294
80	3108.873228
81	3102.83172
82	3097.297459
83	3091.581967
84	3086.282416
85	3081.310412
86	3075.861153
87	3070.236044
88	3065.078458
89	3060.46581
90	3055.230416
91	3051.420244
92	3046.971899
93	3043.110023
94	3038.661019
95	3034.469854
96	3030.620988
97	3026.102104
98	3022.661682
99	3019.174447
100	3016.544449
101	3013.57747
102	3010.890976
103	3007.902202
104	3004.914705
105	3002.51896
106	2999.760897
107	2996.473525
108	2994.267991
109	2990.526555
110	2987.871321
111	2983.860075
112	2980.779934
113	2977.823461
114	2975.3284
115	2973.295589
116	2970.281595
117	2967.947521
118	2964.851064
119	2961.676712
120	2958.681997
121	2955.927228
122	2953.58761
123	2950.983451
124	2948.327754
125	2946.755888
126	2945.180379
127	2942.908067
128	2941.182646
129	2940.009711
130	2938.169494
131	2936.837133
132	2935.254434
133	2932.961351
134	2930.90827
135	2928.66635
136	2926.472846
137	2925.128577
138	2923.568682
139	2921.813607
140	2920.502295
141	2918.463632
142	2916.974049
143	2915.317319
144	2913.518334
145	2911.746889
146	2910.699218
147	2909.517984
148	2907.625352
149	2906.456882
150	2904.965397
151	2903.87526
152	2902.372381
153	2900.788227
