iter	Passed	Remaining
0	57	57785
1	86	43247
2	118	39248
3	159	39783
4	218	43564
5	246	40862
6	285	40506
7	317	39415
8	337	37151
9	384	38107
10	404	36409
11	429	35347
12	449	34130
13	470	33107
14	500	32867
15	538	33095
16	560	32412
17	580	31692
18	614	31726
19	645	31632
20	671	31286
21	690	30682
22	720	30587
23	744	30261
24	774	30189
25	800	29989
26	828	29856
27	856	29722
28	884	29620
29	906	29315
30	921	28796
31	945	28613
32	972	28489
33	997	28329
34	1063	29310
35	1118	29949
36	1175	30595
37	1251	31688
38	1308	32239
39	1353	32473
40	1414	33086
41	1470	33545
42	1532	34116
43	1605	34875
44	1665	35344
45	1737	36043
46	1804	36588
47	1885	37391
48	1926	37389
49	1963	37309
50	2036	37902
51	2137	38961
52	2217	39625
53	2280	39953
54	2333	40101
55	2413	40686
56	2469	40859
57	2549	41401
58	2595	41398
59	2627	41164
60	2691	41431
61	2722	41189
62	2758	41031
63	2789	40794
64	2827	40679
65	2934	41522
66	3017	42025
67	3097	42448
68	3143	42412
69	3176	42205
70	3227	42226
71	3268	42132
72	3313	42076
73	3379	42292
74	3467	42770
75	3533	42955
76	3619	43389
77	3672	43415
78	3723	43410
79	3772	43389
80	3806	43188
81	3846	43060
82	3899	43080
83	3932	42877
84	3966	42701
85	4030	42839
86	4178	43846
87	4245	44003
88	4307	44091
89	4369	44179
90	4474	44698
91	4524	44658
92	4575	44622
93	4629	44624
94	4702	44795
95	4776	44977
96	4872	45359
97	4940	45474
98	5027	45752
99	5089	45806
100	5129	45653
101	5221	45973
102	5293	46098
103	5404	46560
104	5470	46631
105	5512	46495
106	5551	46329
107	5643	46609
108	5744	46957
109	5834	47204
110	5926	47468
111	5970	47338
112	6012	47194
113	6085	47298
114	6150	47335
115	6186	47141
116	6262	47266
117	6335	47353
118	6388	47295
119	6443	47255
120	6492	47164
121	6524	46953
122	6550	46704
123	6575	46454
124	6609	46266
125	6654	46161
126	6704	46083
127	6736	45890
128	6762	45658
129	6787	45425
130	6830	45313
131	6863	45135
132	6905	45016
133	6944	44881
134	6983	44749
135	7028	44650
136	7056	44449
137	7144	44629
138	7213	44684
139	7251	44546
140	7293	44432
141	7334	44318
142	7363	44129
143	7403	44010
144	7436	43850
145	7462	43652
146	7490	43462
147	7525	43319
148	7565	43211
149	7602	43080
150	7712	43366
151	7800	43518
152	7877	43612
153	7957	43716
154	8001	43619
155	8026	43426
156	8067	43316
157	8110	43221
158	8148	43098
159	8169	42890
160	8209	42782
161	8254	42698
162	8299	42617
163	8338	42504
164	8375	42383
165	8424	42326
166	8510	42449
167	8597	42576
168	8652	42546
169	8704	42496
170	8735	42351
171	8775	42245
172	8809	42113
173	8842	41977
174	8862	41778
175	8912	41724
176	8943	41584
177	8981	41477
178	9007	41314
179	9040	41185
180	9081	41092
181	9113	40962
182	9147	40836
183	9183	40725
184	9223	40632
185	9281	40618
186	9336	40591
187	9397	40590
188	9459	40589
189	9499	40498
190	9532	40373
191	9560	40231
192	9585	40081
193	9615	39947
194	9648	39830
195	9681	39711
196	9709	39578
197	9750	39494
198	9791	39413
199	9828	39313
200	9879	39273
201	9917	39178
202	9965	39126
203	10004	39036
204	10036	38923
205	10075	38836
206	10111	38735
207	10144	38627
208	10182	38536
209	10222	38454
210	10261	38370
211	10298	38280
212	10336	38193
213	10386	38147
214	10414	38025
215	10449	37926
216	10500	37887
217	10534	37787
218	10575	37714
219	10613	37628
220	10637	37496
221	10673	37405
222	10705	37301
223	10738	37200
224	10777	37122
225	10815	37041
226	10855	36966
227	10892	36881
228	10921	36770
229	10964	36708
230	11006	36639
231	11043	36557
232	11088	36502
233	11131	36439
234	11161	36334
235	11191	36231
236	11223	36133
237	11249	36018
238	11285	35934
239	11293	35763
240	11332	35691
241	11378	35639
242	11439	35635
243	11481	35574
244	11510	35471
245	11547	35393
246	11581	35307
247	11623	35245
248	11652	35143
249	11689	35067
250	11723	34984
251	11757	34900
252	11793	34820
253	11834	34758
254	11869	34677
255	11909	34612
256	11955	34564
257	11985	34468
258	12021	34393
259	12065	34339
260	12102	34266
261	12131	34171
262	12166	34094
263	12189	33982
264	12226	33910
265	12270	33859
266	12306	33786
267	12347	33724
268	12389	33667
269	12423	33588
270	12457	33511
271	12501	33461
272	12536	33384
273	12572	33312
274	12609	33243
275	12648	33180
276	12686	33112
277	12721	33039
278	12755	32963
279	12786	32879
280	12816	32794
281	12856	32735
282	12892	32663
283	12925	32587
284	12949	32487
285	12982	32410
286	13018	32342
287	13038	32233
288	13063	32139
289	13100	32074
290	13136	32006
291	13163	31915
292	13197	31845
293	13232	31774
294	13268	31708
295	13301	31635
296	13346	31591
297	13377	31513
298	13420	31463
299	13459	31404
300	13494	31337
301	13540	31295
302	13579	31237
303	13613	31168
304	13652	31109
305	13693	31056
306	13725	30982
307	13764	30926
308	13804	30870
309	13845	30818
310	13881	30754
311	13919	30693
312	13954	30629
313	13999	30585
314	14050	30553
315	14092	30503
316	14129	30443
317	14170	30389
318	14211	30337
319	14252	30287
320	14294	30236
321	14328	30168
322	14357	30093
323	14391	30025
324	14429	29969
325	14464	29905
326	14500	29843
327	14532	29773
328	14579	29734
329	14620	29683
330	14654	29618
331	14688	29554
332	14726	29497
333	14764	29440
334	14797	29373
335	14834	29316
336	14870	29255
337	14916	29216
338	14952	29154
339	14987	29092
